name,municipality,code,coordinates
Utirik Airport,Utirik Island,UTK,"169.852005, 11.222"
Ocean Reef Club Airport,Key Largo,OCA,"-80.274803161621, 25.325399398804"
Pilot Station Airport,Pilot Station,PQS,"-162.899994, 61.934601"
Crested Butte Airpark,Crested Butte,CSE,"-106.928341, 38.851918"
LBJ Ranch Airport,Johnson City,JCY,"-98.62249755859999, 30.251800537100003"
Metropolitan Airport,Palmer,PMX,"-72.31140136719999, 42.223300933800004"
Loring Seaplane Base,Loring,WLR,"-131.636993408, 55.6012992859"
Nunapitchuk Airport,Nunapitchuk,NUP,"-162.440454, 60.905591"
Port Alice Seaplane Base,Port Alice,PTC,"-133.597, 55.803"
Icy Bay Airport,Icy Bay,ICY,"-141.662002563, 59.96900177"
Port Protection Seaplane Base,Port Protection,PPV,"-133.61000061035, 56.328800201416"
Kalakaket Creek AS Airport,Kalakaket Creek,KKK,"-156.820392609, 64.4166256967"
Dunsmuir Muni-Mott Airport,Dunsmuir,MHS,"-122.272003, 41.263199"
Chase Field Industrial Airport,Beeville,NIR,"-97.661917, 28.362444"
Grand Canyon Bar Ten Airstrip,Whitmore,GCT,"-113.231159, 36.258614"
Ellamar Seaplane Base,Ellamar,ELW,"-146.704038, 60.893818"
Lime Village Airport,Lime Village,LVD,"-155.440002441, 61.3591003418"
Hog River Airport,Hogatza,HGZ,"-155.6690063, 66.2161026"
Ed-Air Airport,Oaktown,OTN,"-87.4997024536, 38.851398468"
Telida Airport,Telida,TLF,"-153.26899719238, 63.393901824951"
Eagle Air Park,Brazoria,BZT,"-95.579696655273, 28.982200622559"
Entrance Island Seaplane Base,Entrance Island,HBH,"-133.43848, 57.412201"
False Island Seaplane Base,False Island,FAK,"-135.212997437, 57.5321998596"
Blakely Island Airport,Blakely Island,BYW,"-122.825996399, 48.578998565700005"
Drift River Airport,Kenai,DRF,"-152.162002563, 60.588901519800004"
Rinkenberger Restricted Landing Area,Bradford,BDF,"-89.61569976810001, 41.230899810800004"
Roy Otten Memorial Airfield,Versailles,VRS,"-92.875198364258, 38.427799224854"
Golden Horn Lodge Seaplane Base,Golden Horn Lodge,GDH,"-158.875, 59.7470016479"
Atmautluak Airport,Atmautluak,ATT,"-162.272995, 60.866699"
Livengood Camp Airport,Livengood,LIV,"-148.6534, 65.467"
Pedro Bay Airport,Pedro Bay,PDB,"-154.12399292, 59.7896003723"
Ouzinkie Airport,Ouzinkie,KOZ,"-152.496715, 57.925362"
Tununak Airport,Tununak,TNK,"-165.27200317383, 60.575500488281"
Ben Bruce Memorial Airpark,Evadale,EVA,"-94.07350158690001, 30.3209991455"
Hyder Seaplane Base,Hyder,WHD,"-130.009975, 55.903324"
Minto Al Wright Airport,Minto,MNT,"-149.369995, 65.1437"
Tokeen Seaplane Base,Tokeen,TKI,"-133.32699585, 55.9370994568"
Aleknagik / New Airport,Aleknagik,WKK,"-158.617996216, 59.2826004028"
Ketchikan Harbor Seaplane Base,Ketchikan,WFB,"-131.677002, 55.349899"
Naknek Airport,Naknek,NNK,"-157.02000427246, 58.732898712158"
Lake Brooks Seaplane Base,Katmai National Park,BKF,"-155.77699279785, 58.554798126221"
Southern Seaplane Airport,Belle Chasse,BCS,"-90.0222015381, 29.8661003113"
Catalina Air-Sea Terminal Heliport,San Pedro,SPQ,"-118.275001526, 33.7491989136"
East 34th Street Heliport,New York,TSS,"-73.97209930419922, 40.74259948730469"
New York Skyports Inc Seaplane Base,New York,QNY,"-73.9729, 40.734001"
Earl Henry Airport,Blackwell,BWL,"-97.3170013428, 36.7958984375"
Yes Bay Lodge Seaplane Base,Yes Bay,WYB,"-131.800994873, 55.9163017273"
Center Island Airport,Center Island,CWS,"-122.832000732, 48.4901008606"
Tatitlek Airport,Tatitlek,TEK,"-146.690297, 60.871449"
Pine Island Airport,Corolla,DUF,"-75.7884979248, 36.2535018921"
Stuart Island Airpark,Stuart Island,SSW,"-123.17600250244, 48.672901153564"
Fort Bragg Airport,Fort Bragg,FOB,"-123.79599762, 39.4743003845"
Port of Poulsbo Marina Moorage Seaplane Base,Poulsbo,PUL,"-122.64700317383, 47.734001159668"
Century City Heliport,Los Angeles,CCD,"-118.417999268, 34.060798645"
Meyers Chuck Seaplane Base,Meyers Chuck,WMK,"-132.255004883, 55.7396011353"
Maxson Airfield,Alexandria Bay,AXB,"-75.90034, 44.312002"
Reese Airpark,Lubbock,REE,"-102.03700256348, 33.590301513672"
Waldron Airstrip,East Sound,WDN,"-123.017998, 48.7118"
Whale Pass Seaplane Float Harbor Facility,Whale Pass,WWP,"-133.121994, 56.116299"
Chuathbaluk Airport,Chuathbaluk,CHU,"-159.216003, 61.579102"
Ugashik Airport,Ugashik,UGS,"-157.399002075, 57.5279006958"
Marlboro Airport,Marlboro,MXG,"-71.509002, 42.343201"
Philadelphia Seaplane Base,Essington,PSQ,"-75.299598693848, 39.859001159668"
Levelock Airport,Levelock,KLL,"-156.85899353, 59.128101348899996"
Saginaw Seaplane Base,Saginaw Bay,SGW,"-134.158004761, 56.8862991333"
Tuntutuliak Airport,Tuntutuliak,WTL,"-162.667007446, 60.3353004456"
